cm_id,claim_id,start_date,end_date,pl,productmodel,partno,totalamount,program_number,program_name,descr,actual_activity,reseller,claim_status,business_type,activity_subtype,activity_subtype_id
24281,7901,2020-01-12T00:00:00.000+0000,2020-01-18T00:00:00.000+0000,4H- (7CC47AA),HP OfficeJet 5255 All-in-One Printer,M2U75A,10000,9008,Ad Funds - Inkjet Printers FY'20 H12,MARKET DEVELOPMENT FUNDS,Ad Funding,Best Buy,Approved,HPS HW,Program,Advertising
50220,20134,2022-07-24T00:00:00.000+0000,2022-07-30T00:00:00.000+0000,MS- (544H8A),HyperXStingerCoreW+7.1HHSS1C-BA-BK/G,4P4F0AA,180,HAIS-MC-X00622,Micro Center July Promo 7/3/2022-7/30/2022		,undefined,Instant Savings,Microcenter,Pending,HyperX,UNKNOWN,UNKNOWN
24139,7991,2020-01-15T00:00:00.000+0000,2020-01-30T00:00:00.000+0000,IF- (7CD16AA),HP Sprocket Studio Bundle,8SU11A,3624,10113,CP - Add Missed Paper to Studio at NAE,MARKET DEVELOPMENT FUNDS,In-Store Merchandising Enhancement,New Age,Approved,HPS HW,Program,Advertising
48720,19471,2022-05-01T00:00:00.000+0000,2022-05-07T00:00:00.000+0000,MS- (544H8A),HyperXCloudBluePS5HHSC2-FA-BL,4P5H9AA,913.5,HAIS-TG-X01022,Target May Promo 5/1/2022-6/4/2022,undefined,Instant Savings,Target,Approved,HyperX,UNKNOWN,UNKNOWN
50238,20134,2022-07-03T00:00:00.000+0000,2022-07-09T00:00:00.000+0000,MS- (544H8A),HyperXCloudXFlightHX-HSCFX-BK/WW,4P5J6AA,40,HAIS-MC-X00622,Micro Center July Promo 7/3/2022-7/30/2022		,undefined,Instant Savings,Microcenter,Pending,HyperX,UNKNOWN,UNKNOWN
54908,21867,2022-02-02T00:00:00.000+0000,2022-11-08T00:00:00.000+0000,KV- (4XM40A),,,30000,AEL-2X-N05222,Notebook EOL FQ2'22 Acceleration,undefined,End Of Life,New Age,Approved,PC,UNKNOWN,UNKNOWN
60131,23533,2022-12-28T00:00:00.000+0000,2023-02-05T00:00:00.000+0000,KV- (4XM40A),15-EU1073CL,644F0UA,875,AIS-CO-N01123,Costco C2'22 Warehouse NB IR Program,undefined,Instant Savings,Costco,Approved,PC,Program,Other
40575,15308,2021-04-01T00:00:00.000+0000,2021-04-30T00:00:00.000+0000,GJ- (7CC96AA),,,91121.22,11272,Q2 21 Toner 1% CX Program,Sales goal Attainment,Margin Enhancement,Amazon,Reversed,Toner,Program,Other
26017,8399,2020-01-01T00:00:00.000+0000,2020-03-31T00:00:00.000+0000,4H- (7CC47AA),,,27604.41,9842,ASP - CQ1'20 Printer Share Agreement ,Sales goal Attainment,Margin Enhancement,Costco,Approved,HPS HW,Program,Other
50240,20134,2022-07-17T00:00:00.000+0000,2022-07-23T00:00:00.000+0000,MS- (544H8A),HyperXStingerCorePS5HX-HSCSC-BK,4P5J8AA,15,HAIS-MC-X00622,Micro Center July Promo 7/3/2022-7/30/2022		,undefined,Instant Savings,Microcenter,Pending,HyperX,UNKNOWN,UNKNOWN
25997,8446,2020-03-08T00:00:00.000+0000,2020-03-14T00:00:00.000+0000,C5- (7CC72AA),Color LJ Enterprise M553dn Printer,B5L25A,99,9816,"Trade in and Recycle - Jan-Mar, 2020 OPS ",SPECIAL NEGOTIATED DISCOUNT,MIR,Best Buy,Reversed,OPS HW,Program,Other
40980,15432,null,null,,,,0,,,,,,,,UNKNOWN,UNKNOWN
42687,15935,2021-10-29T00:00:00.000+0000,2021-11-30T00:00:00.000+0000,2N- (7CC42AA),HP DeskJet 2755e,26K67A,165.99,11809,ASP HSN QVC DJ 2755e airings,Sales goal Attainment,Pay for Performance 2nd Tier,New Age,Approved,HPS HW,Program,Other
36508,14313,2020-08-01T00:00:00.000+0000,2020-09-30T00:00:00.000+0000,5M- (7CC52AA),,,75000,10837,Staples Aug/Sept Top Rail/Search Program,MARKET DEVELOPMENT FUNDS,Ad Funding,Staples,Approved,HPS HW,Search,Search
29597,9921,2020-06-07T00:00:00.000+0000,2020-06-13T00:00:00.000+0000,GC - (7CC91AA),HP Smart Tank Plus 651 AiO Printer,7XV38A,20000,10301,Ad Funds - Inkjet Printers FY'21 H1,MARKET DEVELOPMENT FUNDS,Ad Funding,Best Buy,Approved,HPS HW,Program,Advertising
61190,23885,2023-01-01T00:00:00.000+0000,2023-01-31T00:00:00.000+0000,1N- (7CC38AA),,,233333.34,12689,Q1 2023 Targeted Retail Mktg - Ink,undefined,Ad Funding,Amazon,Approved,Ink and Media,Program,Advertising
39516,15020,2020-04-01T00:00:00.000+0000,2020-06-30T00:00:00.000+0000,7T- (7CC62AA),,,74595.43,10350,ASP - CQ2'20 Printer Share Agreement,Sales goal Attainment,Margin Enhancement,Costco,Approved,HPS HW,Program,Other
37735,14587,2020-10-04T00:00:00.000+0000,2020-10-31T00:00:00.000+0000,2N- (7CC42AA),,,122597.05,10786,Margin Enhancement Program FY'21-H2 Sep-Nov,Sales goal Attainment,Margin Enhancement,Best Buy,Approved,HPS HW,,
55486,21618,2022-04-24T00:00:00.000+0000,2022-04-30T00:00:00.000+0000,MS- (544H8A),HXCLCWLGAMHS,4P5D5AA,71,HAIS-BB-A00422,Best Buy Ret Console Promo 4/25/2022 to 5/1/2022,undefined,Instant Savings,Best Buy,Cancelled,HyperX,UNKNOWN,UNKNOWN
39515,15020,2020-04-01T00:00:00.000+0000,2020-06-30T00:00:00.000+0000,5M- (7CC52AA),,,36537,10350,ASP - CQ2'20 Printer Share Agreement,Sales goal Attainment,Margin Enhancement,Costco,Approved,HPS HW,Program,Other
55495,21618,2022-04-24T00:00:00.000+0000,2022-04-30T00:00:00.000+0000,MS- (544H8A),HyperXCloudAlphaSBlkHX-HSCAS-BK/WW,4P5L2AA,1380,HAIS-BB-A00422,Best Buy Ret Console Promo 4/25/2022 to 5/1/2022,undefined,Instant Savings,Best Buy,Cancelled,HyperX,UNKNOWN,UNKNOWN
29596,9921,2020-06-07T00:00:00.000+0000,2020-06-13T00:00:00.000+0000,IF- (7CD16AA),HP Sprocket Model 200 Printer,1AS85A,10000,10301,Ad Funds - Inkjet Printers FY'21 H1,MARKET DEVELOPMENT FUNDS,Ad Funding,Best Buy,Approved,HPS HW,Program,Advertising
55039,21906,2022-10-16T00:00:00.000+0000,2022-10-22T00:00:00.000+0000,LG-(390S3AA),LaserJet Tank MFP 2604sdw,381V1A,60,12680,Recycle Program - Tanks,undefined,MIR,Best Buy,Approved,HPS HW,Program,Other
23315,7723,2019-11-03T00:00:00.000+0000,2019-12-07T00:00:00.000+0000,1N- (7CC38AA),,,134360,9415,"Ink offer, Nov-Dec '19 CRM direct mail",SPECIAL NEGOTIATED DISCOUNT,MIR,Staples,Approved,HPS INK,Trad_media,Circular
45260,17440,2021-12-01T00:00:00.000+0000,2022-03-31T00:00:00.000+0000,KV- (4XM40A),,,100000,AOM-DH-N03322,D&H Microsoft CQ1 OPM Gaming Go to market,undefined,Other Peoples Money,D&H,Approved,PC,UNKNOWN,UNKNOWN
32711,12115,2020-05-01T00:00:00.000+0000,2020-07-31T00:00:00.000+0000,GK- (7CC97AA),,,10100,10574,SYNNEX Q3’20 T1 MPS Acceleration Program ,MARKET DEVELOPMENT FUNDS,Marketing Events,Synnex ,Approved,OPS Toner,Program,Other
55499,21618,2022-04-24T00:00:00.000+0000,2022-04-30T00:00:00.000+0000,MS- (544H8A),HyperXPulsefireCoreBlackHX-MC004B,4P4F8AA,984.5,HAIS-BB-A00422,Best Buy Ret Console Promo 4/25/2022 to 5/1/2022,undefined,Instant Savings,Best Buy,Cancelled,HyperX,UNKNOWN,UNKNOWN
60121,23526,2022-11-06T00:00:00.000+0000,2022-11-12T00:00:00.000+0000,MS- (544H8A),HyperXAlloyElite2RedHKBE2X-1X-/G,4P5N3AA,885,HAIS-TG-X12723,TARGET10-30-2022-12-03-2022,undefined,Instant Savings,Target,Approved,HyperX,UNKNOWN,UNKNOWN
39517,15020,2020-04-01T00:00:00.000+0000,2020-06-30T00:00:00.000+0000,2Q- (7CC44AA),,,45884.28,10350,ASP - CQ2'20 Printer Share Agreement,Sales goal Attainment,Margin Enhancement,Costco,Approved,HPS HW,Program,Other
37886,14618,2020-08-20T00:00:00.000+0000,2020-10-31T00:00:00.000+0000,5M- (7CC52AA),,,10000,10841,ASP MC Digital Marketing,MARKET DEVELOPMENT FUNDS,Ad Funding,Microcenter,Approved,HPS HW,Digital,Digital
52497,20978,2022-07-21T00:00:00.000+0000,2022-07-31T00:00:00.000+0000,KV- (4XM40A),17-CN0031CL,3C9Z0UA,2400,AEL-2X-N07822,ROC $2.6M Notebook EOL FQ2'22,undefined,End Of Life,Sams Club,Approved,PC,UNKNOWN,UNKNOWN
24777,7953,2019-10-01T00:00:00.000+0000,2019-12-31T00:00:00.000+0000,2B- (7CC40AA),,,284.43,8991,ASP Target 2019 CQ4 E&E Contribution,Sales goal Attainment,Stretch goals,Target,Approved,HPS HW,Program,Other
25734,8405,2020-02-02T00:00:00.000+0000,2020-02-29T00:00:00.000+0000,2N- (7CC42AA),,,17233.54,9420,Margin Enhancement Program FY'20-H2 Dec-Feb,Sales goal Attainment,other Margin Enhancement activities,Best Buy,Approved,HPS HW,,
22414,7584,2019-12-15T00:00:00.000+0000,2019-12-21T00:00:00.000+0000,4H- (7CC47AA),HP OfficeJet 5255 All-in-One Printer,M2U75A,35250,9951,CP - Staples In Store Only - OJ 5255,SPECIAL NEGOTIATED DISCOUNT,MIR,Staples,Approved,HPS HW,UNKNOWN,UNKNOWN
44839,17270,2022-04-11T00:00:00.000+0000,2022-04-20T00:00:00.000+0000,KV- (4XM40A),,,6000000,AEL-BB-N07722,BBY Notebook EOL FQ2'22,undefined,End Of Life,Best Buy,Approved,PC,UNKNOWN,UNKNOWN
37660,14569,2020-08-23T00:00:00.000+0000,2020-08-31T00:00:00.000+0000,7T- (7CC62AA),,,3497.52,10702,New Age Stay Healthy - July - Sept 2020,Sales goal Attainment,Margin Enhancement,New Age,Approved,HPS HW,UNKNOWN,UNKNOWN
44537,16153,2022-02-26T00:00:00.000+0000,2022-02-26T00:00:00.000+0000,8A- (7CC63AA),,,45000,11881,Dot Com Growth Plan - Laser Dec-Feb,SPECIAL NEGOTIATED DISCOUNT,MIR,Best Buy,Approved,OPS HW A4 & Scanners,,
23181,7756,2019-10-01T00:00:00.000+0000,2019-12-31T00:00:00.000+0000,7T- (7CC62AA),,,52374.89,9381,ASP - CQ4'19 Printer Share Agreement,Sales goal Attainment,other Margin Enhancement activities,Costco,Approved,HPS HW,Program,Other
53399,21313,2022-07-01T00:00:00.000+0000,2022-07-31T00:00:00.000+0000,9G- (4XM15A),,,1681,,,,,,,,UNKNOWN,UNKNOWN
59432,23145,2022-08-21T00:00:00.000+0000,2022-08-27T00:00:00.000+0000,MS- (544H8A),HyperXAlloyOrigins65HKBO1T-RD-NO,4P5D6AA,56,HAIS-MC-X00722,Micro CenterAug Promo 7/31/2022-9/3/2022,undefined,Instant Savings,Microcenter,Approved,HyperX,UNKNOWN,UNKNOWN
56968,22531,2022-10-30T00:00:00.000+0000,2022-12-03T00:00:00.000+0000,1M- (4XM00A),27-CA0070,318D6AA,2100,AAD-DH-D13022,D&H Black Friday DT 2022 Program,undefined,Ad Funding,D&H,Approved,PC,Holiday,Black_Friday
41924,15710,2021-07-08T00:00:00.000+0000,2021-09-30T00:00:00.000+0000,8A- (7CC63AA),,,77000,11656,ASP: OPS Amazon BTS'21 EGG,MARKET DEVELOPMENT FUNDS,Ad Funding,Amazon,Approved,OPS HW A4 & Scanners,BTS,BTS
27404,8645,2020-04-05T00:00:00.000+0000,2020-05-02T00:00:00.000+0000,GD- (7CC92AA),HP InstInk US STPL BIZ Prepaid20 NP Card,3HZ62AN,6110,9964,"Instant ink business card offer, 4 weeks",SPECIAL NEGOTIATED DISCOUNT,IR,Staples,Approved,HPS INK,Program,Other
46606,18629,2021-10-01T00:00:00.000+0000,2021-12-31T00:00:00.000+0000,DU- (7CC74AA),,,17.79,11802,New Age Stay Healthy,undefined,Margin Enhancement,New Age,Approved,HPS HW,UNKNOWN,UNKNOWN
38195,14677,2020-11-01T00:00:00.000+0000,2020-11-30T00:00:00.000+0000,GJ- (7CC96AA),,,70576,11052,Q1'21 Targeted Retail Mktg - Tone,MARKET DEVELOPMENT FUNDS,Ad Funding,Amazon,Approved,Toner,Program,Advertising
54561,21697,2022-08-22T00:00:00.000+0000,2022-09-21T00:00:00.000+0000,KV- (4XM40A),17-cn0079cl ,691L3UA,4224,AEL-2X-N10022,FQ3'22 Notebook EOL Program,undefined,End Of Life,Sams Club,Approved,PC,Program,Other
45034,17359,2022-03-01T00:00:00.000+0000,2022-03-31T00:00:00.000+0000,1M- (4XM00A),,,441.15,AME-NA-M00122,Military via NAE Cost to Serve 1H'22,undefined,PC Margin Enhancement,New Age,Approved,PC,UNKNOWN,UNKNOWN
59396,23145,2022-08-07T00:00:00.000+0000,2022-08-13T00:00:00.000+0000,MS- (544H8A),HyperXAlloyOriginsCoreHX-KB7AQX-US,4P5P1AA,330,HAIS-MC-X00722,Micro CenterAug Promo 7/31/2022-9/3/2022,undefined,Instant Savings,Microcenter,Approved,HyperX,UNKNOWN,UNKNOWN
51852,20778,2022-07-29T00:00:00.000+0000,2022-08-31T00:00:00.000+0000,5M- (7CC52AA),ENVY6065E,223N5A,27756.74,12224,ASP - HSN QVC Envy 6065e Airings,undefined,Pay for Performance 2nd Tier,New Age,Approved,HPS HW,Program,Other
59424,23145,2022-08-14T00:00:00.000+0000,2022-08-20T00:00:00.000+0000,MS- (544H8A),HyperXQuadCastBlk-RdHyperX-MICQC-BK,4P5P6AA,669.5,HAIS-MC-X00722,Micro CenterAug Promo 7/31/2022-9/3/2022,undefined,Instant Savings,Microcenter,Approved,HyperX,UNKNOWN,UNKNOWN
55954,22251,2022-09-10T00:00:00.000+0000,2022-09-16T00:00:00.000+0000,2N- (7CC42AA),HP DeskJet Plus 4158e,26Q93A,54780,12494,CP: DJ 4158e Sam's Sept '22 ISB Offer,undefined,MIR,Sams Club,Approved,HPS HW,Program,Other
59377,23145,2022-07-31T00:00:00.000+0000,2022-08-06T00:00:00.000+0000,MS- (544H8A),HyperXAlloyCoreRGBHX-KB5ME2,4P4F5AA,744,HAIS-MC-X00722,Micro CenterAug Promo 7/31/2022-9/3/2022,undefined,Instant Savings,Microcenter,Approved,HyperX,UNKNOWN,UNKNOWN
52330,20906,null,2022-05-15T00:00:00.000+0000,MS- (544H8A),,,1821,HAAD-BB-X01922,BBy Console - Sponsored Products - Mar 2022 thru Feb 2023,undefined,Ad Funding,Best Buy,Approved,HyperX,Search,Sponsored_product
59421,23145,2022-08-14T00:00:00.000+0000,2022-08-20T00:00:00.000+0000,MS- (544H8A),HyperXPuddingKeycapsHKCPXA-BK/G,4P5P4AA,60,HAIS-MC-X00722,Micro CenterAug Promo 7/31/2022-9/3/2022,undefined,Instant Savings,Microcenter,Approved,HyperX,UNKNOWN,UNKNOWN
30023,10021,null,null,,,,0,,,,,,,,UNKNOWN,UNKNOWN
54677,21659,2022-08-01T00:00:00.000+0000,2022-08-28T00:00:00.000+0000,5M- (7CC52AA),,,10804.73,12457,ASP - CQ3 '22 Printer Share Agreement,undefined,Margin Enhancement,Costco,Approved,HPS HW,Program,Other
45420,17552,2021-11-01T00:00:00.000+0000,2022-01-31T00:00:00.000+0000,KV- (4XM40A),,,447405.35,AOR-WM-M00522,Walmart Better Buying Program True Up Q1'22,undefined,MIR,Wal-Mart,Approved,PC,Program,Other
58160,22902,2022-10-23T00:00:00.000+0000,2022-10-29T00:00:00.000+0000,MS- (544H8A),HXWHTKCPSPBTFullKeySet,519T5AA,71.64,HAIS-AM-X00922,Amazon - October 2022 Promos,undefined,Instant Savings,Amazon,Approved,HyperX,UNKNOWN,UNKNOWN
55295,21971,2022-10-31T00:00:00.000+0000,2022-11-06T00:00:00.000+0000,1M- (4XM00A),GT15-0304,575P7AA,68585,AIS-BB-D10922,Best Buy Black Friday Desktop IRs 2022,undefined,Instant Savings,Best Buy,Approved,PC,Holiday,Black_Friday
58145,22902,2022-10-23T00:00:00.000+0000,2022-10-29T00:00:00.000+0000,MS- (544H8A),HyperXQuadCastBlk-RdHyperX-MICQC-BK,4P5P6AA,18897.2,HAIS-AM-X00922,Amazon - October 2022 Promos,undefined,Instant Savings,Amazon,Approved,HyperX,UNKNOWN,UNKNOWN
58140,22902,2022-10-23T00:00:00.000+0000,2022-10-29T00:00:00.000+0000,MS- (544H8A),HyperXPuddingKeycapsHKCPXP-WT-US/G,4P5P5AA,639.92,HAIS-AM-X00922,Amazon - October 2022 Promos,undefined,Instant Savings,Amazon,Approved,HyperX,UNKNOWN,UNKNOWN
58162,22902,2022-10-23T00:00:00.000+0000,2022-10-29T00:00:00.000+0000,MS- (544H8A),HXBLKKCPSPBTFullKeySet,519P1AA,167.16,HAIS-AM-X00922,Amazon - October 2022 Promos,undefined,Instant Savings,Amazon,Approved,HyperX,UNKNOWN,UNKNOWN
55082,20790,2022-02-27T00:00:00.000+0000,2022-03-05T00:00:00.000+0000,MS- (544H8A),HyperXFURYSMousePadHX-MPFS-XL,4P5Q9AA,438, HAMC-BB-X01522,Best Buy Promotions 2/27 - 3/5,undefined,MIR,Best Buy,Cancelled,HyperX,UNKNOWN,UNKNOWN
58362,22963,2022-12-09T00:00:00.000+0000,2022-12-24T00:00:00.000+0000,KV- (4XM40A),17-cn2063cl,641G6UA,603216,AIS-CO-N01123,Costco C2'22 Warehouse NB IR Program,undefined,Instant Savings,Costco,Approved,PC,Program,Other
23510,7831,2020-01-19T00:00:00.000+0000,2020-01-25T00:00:00.000+0000,5M- (7CC52AA),ENVY 7855 Photo,K7R96A,3570,9875,Trade-in Program for BTB,SPECIAL NEGOTIATED DISCOUNT,MIR,Office Depot,Approved,HPS HW,BTB,BTB
29348,8824,2019-06-01T00:00:00.000+0000,2019-06-30T00:00:00.000+0000,2N- (7CC42AA),,,1423.34,8380,New Age Stay Healthy - Apr-Jun 2019,Sales goal Attainment,other Margin Enhancement activities,New Age,Approved,HPS HW,UNKNOWN,UNKNOWN
24238,7947,2019-06-30T00:00:00.000+0000,2019-12-28T00:00:00.000+0000,4H- (7CC47AA),,,38995.13,8993,Staples 2H 2019 HPS Inkjet Growth Program,Sales goal Attainment,Stretch goals,Staples,Approved,HPS HW,,
24243,7947,2019-06-30T00:00:00.000+0000,2019-12-28T00:00:00.000+0000,4H- (7CC47AA),,,19497.56,8993,Staples 2H 2019 HPS Inkjet Growth Program,Sales goal Attainment,Stretch goals,Staples,Approved,HPS HW,,
28005,8864,2019-03-03T00:00:00.000+0000,2019-03-09T00:00:00.000+0000,8A- (7CC63AA),LJ Pro M402n,C5F93A,57,7829,Trade in and Recycle - Laser - OPS - H1 ,SPECIAL NEGOTIATED DISCOUNT,MIR,Best Buy,Approved,OPS HW,Program,Other
48151,19293,2022-05-01T00:00:00.000+0000,2022-05-31T00:00:00.000+0000,MS- (544H8A),HyperXCloudBluePS5HHSC2-FA-BL,4P5H9AA,333.2,HAMC-DH-A00622,Fred Meyers via D&H HyperX Meet Comp March-May 2022,undefined,Meet Competition,D&H,Approved,HyperX,UNKNOWN,UNKNOWN
24355,8039,2019-10-01T00:00:00.000+0000,2019-10-31T00:00:00.000+0000,7T- (7CC62AA),,,7312.78,8887,ASP: Sam's Club 2H19 Printer Program,Sales goal Attainment,other Margin Enhancement activities,Sams Club,Approved,HPS HW,Program,Other
26752,8608,2020-02-02T00:00:00.000+0000,2020-02-08T00:00:00.000+0000,8A- (7CC63AA),HP Color LaserJet Pro MFP M479fdw Prntr,W1A80A,1417.5,9816 ,"Trade in and Recycle - Jan-Mar, 2020 OPS ",SPECIAL NEGOTIATED DISCOUNT,MIR,Best Buy,Approved,OPS HW,Program,Other
59767,23385,2023-01-01T00:00:00.000+0000,2023-01-28T00:00:00.000+0000,L6 - (390S7AA),,,600,12875,Paid Search - Laser Printers Dec-Feb,undefined,Ad Funding,Best Buy,Approved,OPS HW,Search,Search
29347,8824,2019-06-01T00:00:00.000+0000,2019-06-30T00:00:00.000+0000,1D- (7CC37AA),,,432.71,8380,New Age Stay Healthy - Apr-Jun 2019,Sales goal Attainment,other Margin Enhancement activities,New Age,Approved,HPS HW,UNKNOWN,UNKNOWN
56092,22320,2022-12-04T00:00:00.000+0000,2022-12-10T00:00:00.000+0000,GC - (7CC91AA),Smart Tank 6001,2H0B9A,60,12680,Recycle Program - Tanks,undefined,MIR,Best Buy,Approved,HPS HW,Program,Other
48658,19436,2022-05-29T00:00:00.000+0000,2022-07-02T00:00:00.000+0000,8A- (7CC63AA),,,2608.7,12413,Sponsored Products - Laser Jun-Aug,undefined,Ad Funding,Best Buy,Approved,OPS HW A4 & Scanners,Search,Sponsored_product
53454,21344,2022-09-08T00:00:00.000+0000,2022-09-30T00:00:00.000+0000,MS- (544H8A),MousepadPulsefireMatLHMPM1-L,4Z7X4AA,22.5,HAIS-DH-X04022,B&H Pricing 9/1/2022 to 12/31/2022,undefined,Instant Savings,D&H,Approved,HyperX,UNKNOWN,UNKNOWN
38459,14734,2021-01-03T00:00:00.000+0000,2021-01-09T00:00:00.000+0000,1N- (7CC38AA),,,75000,11174,Retail Store Rewards Banner ,MARKET DEVELOPMENT FUNDS,Ad Funding,Staples,Approved,Ink and Media,Display,Banner
23826,7925,2019-11-01T00:00:00.000+0000,2020-01-31T00:00:00.000+0000,1N- (7CC38AA),,,525000,9607,Staples Ink Collaborative Digital Co-op,MARKET DEVELOPMENT FUNDS,Ad Funding,Staples,Approved,HPS INK,Digital,Digital
53051,21182,2022-08-21T00:00:00.000+0000,2022-08-27T00:00:00.000+0000,KV- (4XM40A),15-DY2035TG,347U7UA,45240,AEL-2X-N10022,NotebookEOLProgram,undefined,End Of Life,Target,Approved,PC,Program,Other
25706,8398,2020-01-01T00:00:00.000+0000,2020-03-31T00:00:00.000+0000,IF- (7CD16AA),HP Sprocket Model 200 Printer,1AS85A,8333,9910,Target E&E Table Merchandising - March '20,MARKET DEVELOPMENT FUNDS,Ad Funding,Target,Cancelled,HPS HW,Program,Other
59498,23241,2022-11-21T00:00:00.000+0000,2022-12-24T00:00:00.000+0000,KV- (4XM40A),11A-NA0081CL,2H7Q9UA,3320,AEL-2X-N10022,FQ3'22 Notebook EOL Program,undefined,End Of Life,Sams Club,Approved,PC,Program,Other
32428,12096,2020-05-01T00:00:00.000+0000,2020-07-31T00:00:00.000+0000,7T- (7CC62AA),,,65000,10540,ASP - May-July HV Online Digital Program,MARKET DEVELOPMENT FUNDS,Ad Funding,Staples,Approved,HPS HW,Display,Display
32864,12144,2020-07-19T00:00:00.000+0000,2020-07-31T00:00:00.000+0000,8A- (7CC63AA),HP Color LaserJet Pro M454dw Printer,W1Y45A,18200,10828,CP: OPS - AB CE Showcase Banner,MARKET DEVELOPMENT FUNDS,Ad Funding,Amazon,Approved,OPS HW,Display,Banner
52482,20974,2022-09-12T00:00:00.000+0000,2022-09-18T00:00:00.000+0000,1M- (4XM00A),24-DF0214,1K0F8AA,63720,AIS-BB-D09422,Best Buy Cycle IRs_AIO_Q4'22,undefined,Instant Savings,Best Buy,Approved,PC,UNKNOWN,UNKNOWN
38621,14780,2020-11-29T00:00:00.000+0000,2021-01-02T00:00:00.000+0000,GC - (7CC91AA),,,20536.73,10905,Margin Enhancement Program FY'21-H2 Dec-Feb,Sales goal Attainment,Margin Enhancement,Best Buy,Approved,HPS HW,,
45511,17197,2022-01-01T00:00:00.000+0000,2022-03-31T00:00:00.000+0000,1N- (7CC38AA),,,5000,11996,Micro Center After Market Instant Ink,MARKET DEVELOPMENT FUNDS,In-Store Merchandising Enhancement,Microcenter,Approved,Ink and Media,UNKNOWN,UNKNOWN
55446,22042,2022-10-09T00:00:00.000+0000,2022-10-15T00:00:00.000+0000,MS- (544H8A),HyperX QuadCast S USB WHT Microphone,519P0AA,1196,HAIS-TG-X01522,48690OctPromo,undefined,Instant Savings,Target,Approved,HyperX,UNKNOWN,UNKNOWN
52483,20974,2022-09-12T00:00:00.000+0000,2022-09-18T00:00:00.000+0000,1M- (4XM00A),24-ca1234,577B5AA,86670,AIS-BB-D09422,Best Buy Cycle IRs_AIO_Q4'22,undefined,Instant Savings,Best Buy,Approved,PC,UNKNOWN,UNKNOWN
40415,15262,2021-03-01T00:00:00.000+0000,2021-03-31T00:00:00.000+0000,G0 - (7CC88AA),,,1186.92,11272,Q2 21 Toner 1% CX Program,Sales goal Attainment,Margin Enhancement,Amazon,Approved,Toner,Program,Other
42727,15948,2021-11-28T00:00:00.000+0000,2022-01-01T00:00:00.000+0000,2N- (7CC42AA),,,6666.66,11884,Always On Banners Dec-Feb,MARKET DEVELOPMENT FUNDS,Ad Funding,Best Buy,Approved,HPS HW,Display,Banner
48579,19415,2022-01-31T00:00:00.000+0000,2022-02-05T00:00:00.000+0000,MS- (544H8A),HyperXAlloyOriginsCoreHX-KB7BLX,4P5P2AA,837.5,HAMC-AM-X01622,Amazon Promos 1-30 to 2-5		,undefined,Meet Competition,Amazon,Approved,HyperX,UNKNOWN,UNKNOWN
44843,17271,2022-01-01T00:00:00.000+0000,2022-01-31T00:00:00.000+0000,IR -(7RB50A),,,7250,12011,ASP: HPS EGG Diamond Package ,undefined,Ad Funding,Amazon,Approved,HPS HW,Holiday,Holiday
55748,22162,2022-11-01T00:00:00.000+0000,2022-11-01T00:00:00.000+0000,DU- (7CC74AA),,,5000,12577,Dot Com Growth Plan - Inkjet Sep-Nov,undefined,MIR,Best Buy,Approved,HPS HW,,
44846,17271,2022-02-01T00:00:00.000+0000,2022-02-28T00:00:00.000+0000,5M- (7CC52AA),,,28833.33,12011,ASP: HPS EGG Diamond Package ,undefined,Ad Funding,Amazon,Approved,HPS HW,Holiday,Holiday
58312,22939,2022-11-24T00:00:00.000+0000,2022-12-25T00:00:00.000+0000,KV- (4XM40A),15-es2083cl,6X1M4UA,44485,AIS-CO-N01123,Costco C2'22 Warehouse NB IR Program,undefined,Instant Savings,Costco,Approved,PC,Program,Other
25068,8246,2019-12-18T00:00:00.000+0000,2020-02-29T00:00:00.000+0000,5M- (7CC52AA),HP Envy 5055 All-in-One Printer,M2U85A,531,9995,ASP-Brandsmart Q1 Floor Focus,Sales goal Attainment,Pay for Performance 2nd Tier,New Age,Approved,HPS HW,Program,Other
53161,21095,2022-08-14T00:00:00.000+0000,2022-08-20T00:00:00.000+0000,MS- (544H8A),HX60AYOPNKHXRGKBD,572Y6AA,168.07,HAIS-AM-X00622,Amazon Promo 7-31 to 9-3-22		,undefined,Instant Savings,Amazon,Approved,HyperX,UNKNOWN,UNKNOWN
48576,19415,2022-01-31T00:00:00.000+0000,2022-02-05T00:00:00.000+0000,MS- (544H8A),HyperXCloudXSilverHHSC2-CG-SL/G,4P5H8AA,3844.2,HAMC-AM-X01622,Amazon Promos 1-30 to 2-5		,undefined,Meet Competition,Amazon,Approved,HyperX,UNKNOWN,UNKNOWN
29616,9929,2020-05-01T00:00:00.000+0000,2020-05-31T00:00:00.000+0000,GP- (7CD00AA),,,35007.85,10538,Q3 20 Retail Mktg - Toner,MARKET DEVELOPMENT FUNDS,Ad Funding,Amazon,Approved,HPS Toner,Program,Advertising
55749,22162,2022-11-01T00:00:00.000+0000,2022-11-01T00:00:00.000+0000,GC - (7CC91AA),,,10000,12577,Dot Com Growth Plan - Inkjet Sep-Nov,undefined,MIR,Best Buy,Approved,HPS HW,,
