cm_id,claim_id,start_date,end_date,pl,productmodel,partno,totalamount,program_number,program_name,descr,actual_activity,reseller,claim_status,business_type,activity_subtype,activity_subtype_id
24047,7970,2019-10-01T00:00:00.000+0000,2019-12-31T00:00:00.000+0000,4H- (7CC47AA),,,496.68,9454,New Age Stay Healthy - Oct-Dec 2019,Sales goal Attainment,other Margin Enhancement activities,New Age,Approved,HPS HW,UNKNOWN,UNKNOWN
39302,14966,2021-02-08T00:00:00.000+0000,2021-02-15T00:00:00.000+0000,2N- (7CC42AA),HP DeskJet Plus 4155 AiO Printer,3XV13A,20000,10903 ,Ad Funds - Inkjet Printers FY'21 H2,MARKET DEVELOPMENT FUNDS,Ad Funding,Best Buy,Approved,HPS HW,Program,Advertising
39308,14966,2021-02-22T00:00:00.000+0000,2021-02-28T00:00:00.000+0000,7T- (7CC62AA),HP OfficeJet Pro 9015 AiO Printer,1KR42A,20000,10903 ,Ad Funds - Inkjet Printers FY'21 H2,MARKET DEVELOPMENT FUNDS,Ad Funding,Best Buy,Approved,HPS HW,Program,Advertising
36480,12186,2020-07-19T00:00:00.000+0000,2020-07-25T00:00:00.000+0000,AU- (7CC70AA),HP Everyday Business Laser Glossy 120gsm 8.5x11 150 Sheets FSC Paper,4WN08A,15,10652,"Staples CQ3'20 - ecom only, BOGO",SPECIAL NEGOTIATED DISCOUNT,MIR,Staples,Cancelled,HPS Media,,
56031,22288,2022-10-16T00:00:00.000+0000,2022-10-22T00:00:00.000+0000,MS- (544H8A),HyperXCloudXFlightHX-HSCFX-BK/WW,4P5J6AA,1444,HAIS-TG-X01522,48690OctPromo,undefined,Instant Savings,Target,Approved,HyperX,UNKNOWN,UNKNOWN
61042,23851,2022-12-01T00:00:00.000+0000,2022-12-31T00:00:00.000+0000,DU- (7CC74AA),,,5333.33,12643,ASP: HPS EGG Diamond Package,undefined,Ad Funding,Amazon,Approved,HPS HW,Holiday,Holiday
49952,19981,2022-03-28T00:00:00.000+0000,2022-04-23T00:00:00.000+0000,1M- (4XM00A),24-CB0017C,318C7AA,94470,AIS-CO-D10921,Costco Desktop C2'21 Holiday IR Program,undefined,Instant Savings,Costco,Approved,PC,Holiday,Holiday
39095,14909,2021-01-01T00:00:00.000+0000,2021-01-31T00:00:00.000+0000,G0 - (7CC88AA),,,1079.67,11015,Q1 21 HP Toner Curated Placements,MARKET DEVELOPMENT FUNDS,Ad Funding,Amazon,Approved,Toner,Display,Display
39300,14966,2021-02-01T00:00:00.000+0000,2021-02-07T00:00:00.000+0000,5M- (7CC52AA),HP Envy 6055 AiO Printer,5SE16A,20000,10903 ,Ad Funds - Inkjet Printers FY'21 H2,MARKET DEVELOPMENT FUNDS,Ad Funding,Best Buy,Approved,HPS HW,Program,Advertising
38399,14664,2020-10-09T00:00:00.000+0000,2020-10-31T00:00:00.000+0000,GK- (7CC97AA),,,1800,10749,H2 2020 ISO Training and Incentives,MARKET DEVELOPMENT FUNDS,RSR Training,Office Depot,Approved,HPS Toner,,
24044,7970,2019-10-01T00:00:00.000+0000,2019-12-31T00:00:00.000+0000,1D- (7CC37AA),,,38.63,9454,New Age Stay Healthy - Oct-Dec 2019,Sales goal Attainment,other Margin Enhancement activities,New Age,Approved,HPS HW,UNKNOWN,UNKNOWN
41887,15706,2021-07-15T00:00:00.000+0000,2021-07-31T00:00:00.000+0000,2Q- (7CC44AA),LJ Pro MFP M227fdn,G3Q79A,1388.4,11671,CP: Price Increase True-Up,SPECIAL NEGOTIATED DISCOUNT,Stock return avoidance,Amazon,Cancelled,HPS HW,UNKNOWN,UNKNOWN
54301,21632,2022-10-02T00:00:00.000+0000,2022-10-29T00:00:00.000+0000,L8- (390S2AA),,,3370.37,12581,Sponsored Products - Laser Sep-Nov,undefined,Ad Funding,Best Buy,Approved,OPS HW,Search,Sponsored_product
58390,22972,2022-11-24T00:00:00.000+0000,2022-11-27T00:00:00.000+0000,KV- (4XM40A),15-er1051cl,691L1UA,250700,AEL-2X-N05222,Notebook EOL FQ2'22 Acceleration,undefined,End Of Life,Sams Club,Approved,PC,UNKNOWN,UNKNOWN
39098,14909,2021-01-01T00:00:00.000+0000,2021-01-31T00:00:00.000+0000,GP- (7CD00AA),,,29190.33,11015,Q1 21 HP Toner Curated Placements,MARKET DEVELOPMENT FUNDS,Ad Funding,Amazon,Approved,Toner,Display,Display
36658,14360,2020-08-30T00:00:00.000+0000,2020-10-03T00:00:00.000+0000,DU- (7CC74AA),,,555.56,10799 ,Paid Search - Inkjet Printers ,MARKET DEVELOPMENT FUNDS,Ad Funding,Best Buy,Approved,HPS HW,Search,Search
36694,14351,2020-07-01T00:00:00.000+0000,2020-07-31T00:00:00.000+0000,K6- (7CD22AA),,,6113.7,10520,Q3 20 CX 1% Ink Program,Sales goal Attainment,Margin Enhancement,Amazon,Approved,OPS INK,Program,Other
40175,15193,2020-11-01T00:00:00.000+0000,2021-04-30T00:00:00.000+0000,GJ- (7CC96AA),,,100000,11081,WB Mason Preferred Partner Toner #2 1H 2021 ,MARKET DEVELOPMENT FUNDS,Ad Funding,Essendant,Approved,Toner,,
